Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,BHARTIARTL.NS,ICICIBANK.NS,INFY.NS,HINDUNILVR.NS,WIPRO.NS,JSWSTEEL.NS,SBILIFE.NS,BAJAJFINSV.NS,TATACONSUM.NS,HCLTECH.NS,SUNPHARMA.NS,M&M.NS,LT.NS,ASIANPAINT.NS,NESTLEIND.NS,MARUTI.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,ULTRACEMCO.NS,KOTAKBANK.NS,HDFCLIFE.NS,INDUSINDBK.NS,TECHM.NS,INFRATEL.NS,TITAN.NS,SBIN.NS,AXISBANK.NS,ADANIPORTS.NS,NTPC.NS,COALINDIA.NS,POWERGRID.NS,BPCL.NS,ONGC.NS,TATASTEEL.NS,HINDALCO.NS,APOLLOTYRE.NS,GRASIM.NS,M&MFIN.NS,SHREECEM.NS,DABUR.NS,GODREJCP.NS,EICHERMOT.NS,TATAPOWER.NS,ZEEL.NS,LTTS.NS,BOSCHLTD.NS,TATACHEM.NS
01-01-2020,668.44,1975.34,1227.43,436.94,518.85,661.21,1795.82,121.3,249.21,967.81,935.67,311.6,483.91,412.53,508.51,1203.41,1723.84,1403.39,7020.51,183.31,2703.13,3967.76,1669.01,613.77,1433.39,650,,1128.04,314.8,745.45,364.35,92.72,126.81,81.32,185.16,91.78,18.82,207.27,152.88,723.68,190.36,19948.82,439.84,675.63,2115.3,53.92,278.8,1414.48,14196.06,265.74
02-01-2020,679.82,1966.28,1235.25,438.77,522.58,659.28,1797.21,121.6,256.97,960.83,948.36,311.12,485.26,413.15,511.59,1235.89,1721.38,1398.67,7037.93,192.55,2678.16,4143.26,1666.52,626.42,1476.56,653.37,,1128.87,319.36,753.67,369.65,92.6,126.31,81.15,183.61,92.22,19.51,212.93,159.43,746.92,194.28,20844.41,439.98,668.15,2069.79,54.3,279.72,1432.85,14314.06,266.32
03-01-2020,680.64,2005.46,1217.64,438.67,520.88,669.42,1787.38,122.97,253.25,966.53,932.42,306.17,494.99,422.31,504.86,1226.47,1683.65,1385.78,6965.34,189.92,2636.15,4118.27,1652.11,622.91,1476.42,661.09,,1113.34,314.09,739.73,369.03,91.04,126.75,80.28,182.09,92.5,19.46,209.35,154.56,737.47,192.05,20736.52,435.82,673.28,2030.35,54.06,264.36,1430.39,14092.13,265.23
06-01-2020,664.85,2005.28,1191.29,433.42,508.17,663,1776.25,123.48,245.63,974.45,902.17,300.3,492.41,417.9,497.04,1209.66,1641.11,1368.97,6761.93,184.5,2606.63,4057.65,1647.57,611.9,1419.01,657.08,,1131.81,300.26,720.11,366.81,90.7,123.08,80.32,176.69,90.92,19.04,202.43,150.21,718.32,184.54,20679.73,428.55,681.54,1998.84,53.13,252.58,1429.4,13763.25,261.15
07-01-2020,675.08,2010.2,1210.15,429.03,505.47,653.17,1781.12,124.98,246.56,976.24,907.46,302.99,494.31,424.02,499.08,1213.1,1657.7,1357.02,6791.89,183.56,2606.89,4140.62,1665.82,622.17,1411.52,662.8,,1133.12,299.69,722.6,371.25,91.95,123.08,79.74,173.62,90.56,19.15,202,150.91,723.48,185.12,21562.06,433.81,692.49,1993.41,52.99,258.62,1435.84,13771.79,263.74
08-01-2020,670.01,2055.22,1206.98,442.29,508.41,644.47,1789.14,124.78,244,979.06,912.43,304.29,495.58,418.04,497.18,1186.51,1661.93,1366.56,6755.02,181.42,2625.17,4215.63,1649.87,621.08,1408.58,656.57,,1116.86,301.01,721.36,372.07,91.5,119.78,79.26,173.2,88.9,19.12,200.6,151.99,723.82,186.09,22031.49,436.82,695.96,1906.06,52.66,255.43,1456.1,13492.61,263.25
09-01-2020,685.44,2017.95,1220.52,443.49,528.09,652.86,1794.43,124.22,258.5,979.81,937.35,316.12,490.97,417.8,512.91,1209.11,1703.98,1390.51,6940.04,190.81,2647.87,4283.03,1660.03,623.7,1455.94,659.85,,1136.54,310.8,739.63,378,91.04,118.47,80.26,177.21,89.08,19.44,203.84,154.75,738.1,189.84,22397.92,440.7,707.93,1947.91,54.11,262.77,1469.02,13820,267.45
10-01-2020,685.28,2017.22,1231.36,440.51,522.24,662.37,1812,123.29,258.32,980.3,935.05,328.44,491.01,421.36,517.98,1216.87,1723.21,1394.54,7038.56,195.14,2661.17,4338.28,1679.63,615.4,1440.11,662.07,,1127.36,312.73,736.84,378.24,91.76,122.84,79.93,177.1,89.41,19.56,204.56,157.84,737.08,190.19,22919.08,446.58,721.46,1957.86,55.19,254.03,1478.02,13798.82,273.01
13-01-2020,683.54,1996.08,1234.53,451.98,520.64,694.14,1849.88,124.78,258.97,981.15,943.33,339.6,496.22,422.31,525.9,1226.15,1735.08,1391.92,7059.87,195.04,2655.03,4361.8,1686.01,617.67,1486.85,670.26,,1132.15,311.32,734.2,376.6,92.87,126.58,81.03,177.29,90.34,19.94,204.27,159.61,740.34,196.4,23394.04,457.91,725.91,1943.22,55.61,256.06,1479.39,13737.71,278.92
14-01-2020,677.2,2011.16,1237.89,452.41,519.68,696.02,1862.82,125.95,261.11,979.11,953.27,374.87,502.82,423.64,533.05,1218.25,1748.78,1411.89,7092.62,194.64,2661.51,4376.05,1671.75,606.66,1430.84,679.13,,1140.11,308.73,744.66,375.49,94.21,127.41,81.22,178.27,90.06,20.06,205,162.52,740.63,198.69,23129.75,461.69,734.65,1963.32,56.36,260.36,1505.43,14055.35,287.61
